Marca temporal,¿Qué edad tienes?,¿Cuál de las siguientes opciones describe mejor tu identidad de género? ,¿A qué te dedicas actualmente?  (Elige la opción que mejor te describa),Con qué género(s) musical(es) te identificas más?,¿A cuántos festivales de música asistes aproximadamente al año?,¿A qué tipo de lugares sueles ir para vivir festivales o conciertos?,¿Viajas a otras ciudades para ir a festivales o conciertos?,¿Generalmente asistes sola(o) o acompañada(o) a los festivales?,¿Qué influye más en tu decisión para asistir a un festival?,¿Generalmente cuál  es tu mayor gasto extra (aparte del boleto)? ,¿Cuál es tu presupuesto por día para gastar en comida y bebidas en el festival? ,¿Cuánto tiempo sueles pasar dentro de un festival?,¿Cómo manejas tu energía durante el evento?,¿Cuánto tiempo tardas en recuperarte después de un festival?,Cómo te enteras normalmente de los festivales?,¿Qué tan fácil te resulta conseguir boletos y planear tu asistencia?,¿Cuál fue el último festival al que asististe?,¿Qué tan seguro/a te sentiste durante el festival?,Qué aspectos te gustaron más?,¿Qué fue lo que menos te gustó?,¿Qué tipo de experiencias te gustaría vivir además de la música?,¿Qué emociones predominan para ti durante un festival?,¿Consideras que los festivales generan comunidad o conexión con otras personas?,¿Crees que los festivales tienen un impacto social o cultural más allá del entretenimiento?
10/10/2025 12:06:14,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Depende del tipo de festival,Suelo irme antes de que acabe,Un día y ya estoy como nuevo/a,Influencers o medios musicales,2,Vive Latino,2,Producción y escenografía,Gente apagada,Arte visual,Alegría,Algo,Sí
10/10/2025 12:15:40,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Bandemia 🤡,5,Visuales,Seguridad,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 12:20:32,35 a 44,Hombre,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Hipnosis 2024,2,Artistas,Filas para recoger la tarjeta cashless,Espacios de bienestar (descanso),Conexión,Algo,Sí
10/10/2025 12:25:46,25 a 34,Mujer,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Ceremonia 2025,5,Artistas,Pésimo control de calidad de las instalaciones en el festival.,Arte visual,Euforia,Algo,Tal vez
10/10/2025 12:31:53,25 a 34,Mujer,Freelance / Autónomo(a),Experimental,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,4,Tecate Emblema,1,Artistas,Limpieza / sustentabilidad,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
10/10/2025 12:36:23,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Pal norte 25,2,Artistas,Filas para accesos,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 12:42:00,25 a 34,Hombre,Empleado(a) a tiempo completo,Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Machaca Fest,1,"Aquí debería de poder ponerse varias opciones: artistas, visuales, producción y escenografía",Limpieza / sustentabilidad,Experiencias tecnológicas / instalaciones interactivas,"Alegría, ansiedad, cansancio",Algo,Sí
10/10/2025 12:42:37,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Comida dentro del festival 🥫,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Vl,2,Artistas,Baños,Espacios de bienestar (descanso),Alegría,Algo,Sí
10/10/2025 12:46:19,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,Más de 10 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Máximo  $200 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Brillante,3,Producción y escenografía,Limpieza / sustentabilidad,Iniciativas ecológicas o comunitarias,Alegría,"Sí, totalmente",Sí
10/10/2025 12:53:09,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Máximo  $200 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,2,Pitchfork 2025,1,Artistas,Señal e internet,Arte visual,Conexión,"Sí, totalmente",Tal vez
